iter	Passed	Remaining
0	138	138666
1	139	69841
2	141	46881
3	142	35415
4	143	28600
5	144	23986
6	145	20693
7	147	18231
8	148	16323
9	149	14824
10	150	13564
11	151	12513
12	153	11627
13	154	10866
14	155	10225
15	157	9668
16	158	9155
17	159	8701
18	161	8324
19	162	7961
20	163	7630
21	164	7327
22	165	7049
23	167	6791
24	168	6556
25	169	6338
26	171	6168
27	172	5982
28	173	5809
29	174	5652
30	176	5506
31	177	5373
32	179	5246
33	180	5117
34	181	4995
35	182	4882
36	183	4774
37	185	4690
38	187	4608
39	188	4516
40	189	4428
41	190	4344
42	191	4264
43	192	4188
44	193	4114
45	194	4043
46	196	3974
47	197	3909
48	198	3847
49	200	3810
50	201	3755
51	202	3699
52	204	3646
53	205	3594
54	206	3544
55	207	3495
56	208	3448
57	209	3403
58	210	3360
59	211	3317
60	212	3275
61	214	3245
62	215	3210
63	217	3173
64	218	3136
65	219	3101
66	220	3067
67	221	3034
68	222	3002
69	223	2970
70	224	2940
71	225	2909
72	226	2880
73	228	2853
74	230	2840
75	231	2814
76	232	2787
77	233	2761
78	234	2736
79	235	2712
80	236	2686
81	237	2661
82	238	2631
83	239	2607
84	240	2585
85	241	2562
86	242	2539
87	243	2520
88	245	2508
89	245	2485
90	246	2463
91	247	2441
92	248	2419
93	248	2399
94	249	2378
95	250	2358
96	251	2338
97	251	2318
98	252	2299
99	253	2280
100	254	2262
101	254	2244
102	255	2226
103	256	2209
104	257	2192
105	258	2179
106	259	2168
107	260	2151
108	261	2135
109	262	2120
110	262	2105
111	263	2090
112	264	2075
113	265	2060
114	265	2046
115	266	2032
116	267	2017
117	268	2003
118	268	1990
119	269	1976
120	270	1963
121	270	1949
122	271	1937
123	272	1924
124	274	1920
125	275	1909
126	275	1895
127	276	1884
128	277	1872
129	278	1861
130	278	1849
131	279	1838
132	280	1827
133	281	1816
134	281	1805
135	282	1795
136	283	1784
137	284	1774
138	284	1764
139	285	1754
140	286	1745
141	286	1733
142	287	1725
143	289	1721
144	290	1711
145	291	1702
146	291	1693
147	292	1684
148	293	1675
149	294	1666
150	294	1658
151	295	1649
152	296	1640
153	297	1632
154	297	1624
155	298	1616
156	299	1608
157	300	1600
158	301	1592
159	301	1584
160	302	1575
161	304	1573
162	304	1565
163	305	1558
164	306	1550
165	307	1543
166	308	1536
167	308	1529
168	309	1521
169	310	1514
170	311	1508
171	311	1501
172	312	1494
173	313	1487
174	314	1481
175	315	1474
176	315	1468
177	316	1461
178	317	1454
179	318	1452
180	319	1446
181	320	1440
182	321	1434
183	322	1428
184	322	1421
185	323	1415
186	324	1409
187	324	1403
188	325	1397
189	326	1391
190	327	1386
191	328	1380
192	328	1375
193	329	1369
194	330	1363
195	331	1358
196	331	1352
197	333	1349
198	334	1345
199	335	1340
200	335	1335
201	336	1329
202	337	1324
203	338	1319
204	338	1314
205	339	1309
206	340	1304
207	341	1299
208	341	1294
209	342	1289
210	343	1284
211	344	1279
212	344	1274
213	345	1269
214	346	1264
215	347	1261
216	348	1259
217	349	1254
218	350	1249
219	351	1244
220	351	1240
221	352	1235
222	353	1231
223	354	1226
224	354	1222
225	355	1217
226	356	1214
227	357	1210
228	358	1207
229	359	1203
230	360	1199
231	361	1195
232	361	1191
233	363	1189
234	364	1185
235	365	1181
236	365	1177
237	366	1173
238	367	1169
239	367	1165
240	368	1161
241	369	1157
242	370	1153
243	371	1150
244	372	1148
245	373	1144
246	374	1141
247	375	1138
248	376	1135
249	379	1138
250	380	1135
251	381	1131
252	382	1127
253	382	1124
254	383	1120
255	384	1116
256	385	1113
257	385	1109
258	386	1105
259	387	1102
260	388	1098
261	388	1095
262	389	1091
263	390	1088
264	391	1084
265	391	1081
266	393	1080
267	394	1077
268	395	1073
269	395	1070
270	396	1066
271	397	1063
272	398	1060
273	398	1056
274	399	1053
275	400	1050
276	401	1047
277	401	1043
278	402	1040
279	403	1037
280	404	1034
281	404	1031
282	405	1027
283	406	1024
284	408	1024
285	409	1021
286	409	1017
287	410	1015
288	411	1012
289	412	1009
290	412	1006
291	413	1002
292	414	1000
293	415	997
294	415	994
295	416	991
296	417	988
297	418	985
298	419	982
299	419	979
300	420	976
301	421	973
302	423	973
303	423	970
304	424	967
305	425	964
306	426	962
307	427	959
308	427	957
309	428	954
310	429	951
311	430	948
312	430	945
313	431	943
314	432	940
315	433	937
316	433	935
317	434	932
318	435	929
319	436	927
320	438	927
321	439	926
322	440	923
323	441	922
324	443	920
325	444	918
326	445	916
327	446	914
328	447	912
329	448	910
330	449	908
331	450	905
332	451	903
333	453	903
334	454	901
335	455	899
336	455	896
337	456	894
338	457	892
339	458	889
340	459	887
341	460	885
342	461	883
343	461	880
344	462	878
345	464	877
346	465	875
347	467	876
348	468	874
349	469	872
350	470	869
351	471	867
352	471	865
353	472	862
354	473	860
355	474	857
356	474	855
357	475	853
358	476	850
359	477	848
360	477	846
361	478	844
362	479	842
363	480	840
364	482	839
365	483	838
366	484	835
367	485	833
368	486	831
369	486	829
370	487	826
371	488	824
372	489	822
373	490	820
374	490	817
375	491	815
376	492	813
377	493	811
378	493	809
379	494	807
380	495	804
381	496	802
382	497	802
383	498	800
384	499	797
385	500	795
386	500	793
387	501	791
388	502	789
389	503	787
390	504	785
391	504	783
392	505	780
393	506	779
394	507	777
395	508	774
396	508	772
397	509	770
398	510	768
399	511	767
400	512	766
401	513	764
402	514	761
403	515	759
404	515	757
405	516	755
406	517	753
407	518	751
408	518	749
409	519	747
410	520	745
411	520	743
412	521	741
413	522	739
414	523	737
415	523	735
416	524	733
417	525	731
418	527	731
419	528	729
420	528	727
421	529	725
422	530	723
423	531	721
424	531	719
425	532	717
426	533	715
427	534	713
428	534	711
429	535	710
430	536	708
431	537	706
432	537	704
433	538	702
434	539	700
435	540	698
436	540	696
437	541	695
438	542	693
439	543	691
440	544	689
441	544	687
442	545	686
443	546	684
444	547	682
445	548	680
446	548	678
447	549	677
448	550	675
449	551	673
450	551	671
451	552	669
452	553	668
453	554	666
454	555	664
455	556	664
456	557	662
457	558	660
458	558	658
459	559	657
460	560	655
461	561	653
462	562	651
463	562	650
464	563	648
465	564	646
466	565	644
467	565	643
468	566	641
469	567	639
470	568	637
471	568	636
472	569	634
473	571	633
474	571	632
475	572	630
476	573	628
477	574	627
478	575	625
479	575	623
480	576	622
481	577	620
482	577	618
483	578	616
484	579	615
485	580	613
486	580	611
487	581	610
488	582	608
489	583	607
490	583	605
491	585	604
492	586	603
493	587	601
494	588	600
495	588	598
496	590	597
497	591	596
498	592	594
499	592	592
500	593	591
501	594	589
502	595	588
503	596	586
504	596	584
505	597	583
506	598	581
507	599	580
508	600	579
